Cereal.Name,Manufacturer,CFBAI.UNC,CFBAI.Approved,Size,Shelf,Location,Price,Serving.Size,Calories,Total.Fat,Saturated.Fat,Sodium,Potassium,Total.Carbohydrate,Dietary.Fiber,Sugar,Protein,Vitamin.A,Vitamin.C,Calcium,Iron,Vitamin.D,Vitamin.E,Thiamin,Riboflavin,Niacin,Pantothenic.Acid,Vitamin.B6,Folic.Acid,Vitamin.B12,Zinc,Magnesium,Phosphorus,Selenium,Copper,Manganese
Life Cinnamon,Quaker,Yes,NA,13,3,7,4.19,32,120,1.5,0,150,85,25,2,8,3,0,0,10,40,0,0,25,25,25,0,25,100,0,25,0,10,0,0,0
Life Original,Quaker,Yes,NA,13,2,7,4.19,32,120,1.5,0,160,90,25,2,6,3,0,0,10,50,0,0,25,25,25,0,25,100,0,25,0,10,0,0,0
Life Strawberry,Quaker,Yes,NA,13,3,7,4.19,32,120,1.5,0,160,85,25,2,6,3,0,0,10,40,0,0,25,25,25,0,25,100,0,25,0,0,0,0,0
Life Vanilla,Quaker,Yes,NA,13,3,7,4.19,32,120,1.5,0,160,90,25,2,6,3,0,0,10,40,0,0,25,25,25,0,25,100,0,25,0,10,0,0,0
Lucky Charms,General Mills,Yes,Yes,10.5,4,3,4.99,27,110,1,0,170,50,22,2,10,2,10,10,10,25,10,0,25,25,25,0,25,50,25,25,4,4,0,0,0
Mueslix,Kellogg's,No,No,NA,NA,NA,NA,67,250,3.5,0,150,200,50,5,17,6,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi Grain Cheerios,General Mills,Yes,Yes,12,5,6,5.49,29,110,1.5,0,115,125,24,3,6,2,10,10,10,100,10,0,100,100,100,100,100,100,100,100,4,8,0,0,0
Nilla Banana Pudding Cereal,Post,No,No,12,5,2,4.79,32,130,2,0,120,25,28,0,14,1,0,0,6,30,0,0,50,0,8,4,10,6,0,6,0,2,0,0,0
Nutter Butter Cereal,Post,No,No,11,5,2,4.79,33,150,4.5,0.5,160,45,25,0,13,2,0,0,6,30,0,0,50,0,8,4,10,6,0,6,0,2,0,0,0
OOPS! All Berries,Quaker,No,NA,11.5,3,1,5.19,32,130,1.5,1,200,60,28,0,14,1,0,0,0,35,0,0,35,35,35,0,35,100,0,35,0,0,0,0,0
Oreo O's,Post,No,No,11,5,1,4.79,30,120,1.5,0,150,45,25,1,13,1,0,0,0,20,0,0,40,0,6,4,6,4,0,6,0,0,0,0,0
Peanut Butter Crunch,Quaker,Yes,NA,12.5,3,1,5.19,27,110,2.5,0.5,200,65,21,0,9,2,0,0,0,25,0,0,25,25,25,0,25,100,0,25,0,0,0,0,0
Post Raisin Bran,Post,No,No,20,5,9,5.59,61,190,1,0,240,340,48,9,20,5,35,0,2,60,10,0,60,50,40,10,50,90,90,30,25,20,0,30,0
Quaker Oatmeal Squares Brown Sugar,Quaker,Yes,NA,14.5,3,12,5.69,56,210,2.5,0.5,190,200,44,5,9,6,10,10,10,90,0,10,25,25,25,0,20,100,0,25,15,20,0,0,0
Raisin Bran Crunch,Kellogg's,No,No,18.2,2,9,4.99,55,190,1,0,200,280,46,4,13,4,0,0,2,6,0,0,0,0,15,0,0,0,0,10,10,10,0,20,60
Raisin Nut Bran,General Mills,No,No,17.1,5,6,5.29,49,180,3,1,201,170,40,6,14,4,0,0,2,25,0,0,25,25,25,0,25,25,25,25,8,10,0,0,0
Real Medleys Cherry Almond Pecan,Quaker,No,NA,17,3,12,4.69,56,240,7,1,40,NA,41,3,15,5,0,0,4,6,0,0,10,0,0,0,0,0,0,0,0,15,0,0,0
Reese's Puffs,General Mills,Yes,Yes,11.5,4,4,4.99,29,120,3,0.5,160,70,22,1,9,2,10,10,10,25,10,0,25,25,25,0,25,25,25,25,4,8,0,0,0
Rice Chex,General Mills,Yes,No,12,3,6,5.29,27,100,0.5,0,220,50,23,1,2,2,10,10,10,50,10,0,25,25,25,0,25,50,25,25,2,4,0,0,0
Rice Krispies,Kellogg's,Yes,No,12,1,5,4.99,33,130,0,0,160,30,29,0,4,2,25,25,0,50,15,25,25,25,25,0,25,50,25,0,0,0,0,0,0
Shredded Wheat Original Big Biscuit,Post,Yes,No,15,1,9,4.99,51,170,1,0,0,230,41,7,0,6,0,0,0,10,0,0,8,0,15,0,0,0,0,10,10,15,0,0,0
Shredded Wheat Original Spoon Size,Post,Yes,No,18,4,9,5.59,60,210,1.5,0,0,250,49,8,0,7,0,0,0,10,0,0,10,6,20,0,6,6,0,20,15,20,0,0,0
Smart Start,Kellogg's,No,No,17.5,3,12,4.99,64,240,1,0,260,130,56,3,18,5,10,10,0,45,10,10,20,20,0,0,20,80,20,0,0,0,0,0,0
Special K Chocolate Almond,Kellogg's,Yes,No,12.7,4,10,4.99,42,160,2,0.5,230,130,34,3,11,3,10,10,0,60,10,10,20,20,20,0,20,50,20,0,0,0,0,0,0
Special K Chocolatey Delight,Kellogg's,No,No,13.1,4,10,4.99,42,170,3,2.5,250,120,34,3,13,3,10,10,0,60,10,10,20,20,20,0,20,50,20,0,0,0,0,0,0
Special K Fruit and Yogurt,Kellogg's,No,No,12.5,2,11,4.99,42,160,1,0.5,190,90,36,3,13,3,10,10,0,60,10,10,20,20,20,0,20,50,20,0,0,0,0,0,0
Special K Original,Kellogg's,Yes,No,12,2,12,4.99,39,150,0.5,0,270,10,29,0,5,7,10,10,0,60,10,10,20,20,20,0,20,100,20,0,0,0,0,0,0
Special K Red Berries,Kellogg's,Yes,No,11.2,2,11,4.99,39,140,0.5,0,250,80,34,3,11,3,10,10,0,60,10,10,20,20,20,0,20,50,20,0,0,0,0,0,0
Special K Vanilla Almond,Kellogg's,Yes,No,12.4,3,10,4.99,40,150,1.5,0,220,100,33,3,11,3,10,10,0,60,10,10,20,20,20,0,20,50,20,0,0,0,0,0,0
Strawberry Krispies,Kellogg's,Yes,No,11.5,1,5,4.99,32,120,0,0,125,20,28,0,9,2,25,25,0,25,15,25,15,15,15,0,15,25,25,0,0,0,0,0,0
Total,General Mills,Yes,No,10.6,5,7,4.99,30,110,0.5,0,140,100,25,3,5,2,10,100,2,100,25,100,100,100,100,100,100,100,100,100,6,6,0,0,0
Trix,General Mills,Yes,Yes,10.7,4,3,4.79,31,120,1.5,0,150,50,27,1,10,1,10,10,10,25,10,0,25,25,25,0,25,25,25,25,2,4,0,0,0
Vanilla Chex,General Mills,Yes,No,12.1,4,7,5.29,30,120,2.5,0,190,40,24,1,6,1,10,10,10,50,10,0,25,25,25,0,25,50,25,25,2,4,0,0,0
Wheat Chex,General Mills,Yes,No,14,4,6,5.29,47,160,1,0,270,170,39,6,5,5,10,10,10,80,10,0,25,25,25,0,25,100,25,35,10,15,0,0,0
Wheaties,General Mills,Yes,No,15.8,1,5,5.99,27,100,0.5,0,180,90,23,3,4,2,10,10,2,45,10,0,50,50,50,0,50,50,50,50,6,8,0,0,0
Wild Berry Fruit Loops,Kellogg's,Yes,Yes,10.1,4,1,4.99,29,110,0.5,0,150,45,26,3,10,2,10,25,0,25,10,0,25,25,25,0,25,25,25,10,0,0,0,0,0
